*YYYYMMDD HHMMSS JJJJJ.JJJJ         X             Y             Z            Sx        Sy       Sz     Rxy   Rxz    Ryz            NLat         Elong         Height         dN        dE        dU         Sn       Se       Su      Rne    Rnu    Reu  Soln
 20000901 120000 51788.5000 -2485778.32706 -3284087.07415  4853826.81870  0.00317  0.00386  0.00475  0.823 -0.777 -0.821      49.8730531779  232.8773351713  164.69770    -0.03895  -0.04962  -0.02300    0.00198  0.00146  0.00644  0.051 -0.252 -0.047 repro
 20000902 120000 51789.5000 -2485778.32340 -3284087.07003  4853826.81226  0.00326  0.00394  0.00486  0.812 -0.763 -0.807      49.8730531784  232.8773351773  164.68924    -0.03890  -0.04919  -0.03147    0.00209  0.00154  0.00656  0.053 -0.240 -0.057 repro
 20000903 120000 51790.5000 -2485778.32185 -3284087.06868  4853826.81100  0.00252  0.00317  0.00374  0.825 -0.789 -0.834      49.8730531849  232.8773351832  164.68698    -0.03817  -0.04877  -0.03373    0.00155  0.00116  0.00516  0.019 -0.318  0.004 repro
 20000904 120000 51791.5000 -2485778.32601 -3284087.07384  4853826.81793  0.00318  0.00392  0.00467  0.824 -0.790 -0.834      49.8730531795  232.8773351804  164.69655    -0.03877  -0.04898  -0.02416    0.00192  0.00146  0.00643  0.036 -0.314 -0.029 repro
 20000905 120000 51792.5000 -2485778.32531 -3284087.06969  4853826.81670  0.00412  0.00498  0.00614  0.830 -0.779 -0.820      49.8730531980  232.8773351532  164.69320    -0.03671  -0.05092  -0.02750    0.00257  0.00185  0.00833  0.059 -0.256 -0.068 repro
 20000906 120000 51793.5000 -2485778.32521 -3284087.07306  4853826.81469  0.00352  0.00428  0.00525  0.828 -0.778 -0.821      49.8730531684  232.8773351826  164.69336    -0.04002  -0.04881  -0.02735    0.00220  0.00160  0.00713  0.058 -0.262 -0.054 repro
 20000907 120000 51794.5000 -2485778.33202 -3284087.07644  4853826.82328  0.00408  0.00484  0.00602  0.830 -0.774 -0.830      49.8730531713  232.8773351356  164.70431    -0.03969  -0.05219  -0.01639    0.00249  0.00183  0.00817  0.120 -0.259 -0.079 repro
 20000908 120000 51795.5000 -2485778.32612 -3284087.07177  4853826.81465  0.00388  0.00466  0.00583  0.827 -0.762 -0.814      49.8730531714  232.8773351618  164.69302    -0.03968  -0.05031  -0.02769    0.00248  0.00176  0.00785  0.091 -0.229 -0.062 repro
 20000909 120000 51796.5000 -2485778.32730 -3284087.07311  4853826.82117  0.00366  0.00437  0.00540  0.828 -0.772 -0.821      49.8730531969  232.8773351599  164.69915    -0.03683  -0.05044  -0.02155    0.00228  0.00165  0.00733  0.090 -0.260 -0.072 repro
 20000910 120000 51797.5000 -2485778.32502 -3284087.07056  4853826.81532  0.00289  0.00355  0.00421  0.809 -0.781 -0.823      49.8730531865  232.8773351639  164.69249    -0.03800  -0.05016  -0.02822    0.00177  0.00138  0.00580  0.023 -0.309 -0.027 repro
 20000911 120000 51798.5000 -2485778.32405 -3284087.07072  4853826.81492  0.00345  0.00415  0.00516  0.819 -0.773 -0.813      49.8730531873  232.8773351759  164.69188    -0.03791  -0.04929  -0.02882    0.00217  0.00160  0.00696  0.050 -0.236 -0.069 repro
 20000912 120000 51799.5000 -2485778.32986 -3284087.07410  4853826.82190  0.00461  0.00543  0.00669  0.811 -0.756 -0.809      49.8730531851  232.8773351399  164.70121    -0.03815  -0.05188  -0.01949    0.00291  0.00217  0.00908  0.102 -0.255 -0.084 repro
 20010321 120000 51989.5000 -2485778.30875 -3284087.06119  4853826.80257  0.00452  0.00638  0.00762  0.886 -0.839 -0.878      49.8730532315  232.8773352657  164.67159    -0.03299  -0.04286  -0.04912    0.00268  0.00180  0.01043 -0.079 -0.298  0.211 repro
 20010324 120000 51992.5000 -2485778.31650 -3284087.06811  4853826.81408  0.00320  0.00405  0.00487  0.830 -0.781 -0.826      49.8730532281  232.8773352378  164.68696    -0.03337  -0.04486  -0.03374    0.00203  0.00146  0.00664  0.017 -0.275  0.014 repro
 20010325 120000 51993.5000 -2485778.31784 -3284087.06664  4853826.81313  0.00358  0.00443  0.00541  0.834 -0.782 -0.824      49.8730532250  232.8773352106  164.68600    -0.03370  -0.04681  -0.03470    0.00225  0.00160  0.00736  0.035 -0.263 -0.025 repro
 20010326 120000 51994.5000 -2485778.31837 -3284087.07006  4853826.81532  0.00341  0.00428  0.00514  0.825 -0.773 -0.817      49.8730532168  232.8773352334  164.68964    -0.03462  -0.04517  -0.03107    0.00219  0.00157  0.00700  0.021 -0.271  0.000 repro
 20010327 120000 51995.5000 -2485778.31595 -3284087.06853  4853826.81574  0.00306  0.00380  0.00460  0.827 -0.779 -0.819      49.8730532377  232.8773352475  164.68823    -0.03230  -0.04417  -0.03247    0.00194  0.00140  0.00626  0.022 -0.272 -0.024 repro
 20010329 120000 51997.5000 -2485778.31792 -3284087.07344  4853826.81962  0.00301  0.00380  0.00455  0.827 -0.781 -0.829      49.8730532251  232.8773352668  164.69449    -0.03370  -0.04278  -0.02622    0.00189  0.00138  0.00623  0.024 -0.284  0.012 repro
 20010330 120000 51998.5000 -2485778.31890 -3284087.07369  4853826.81808  0.00309  0.00382  0.00477  0.822 -0.775 -0.827      49.8730532107  232.8773352581  164.69382    -0.03530  -0.04341  -0.02688    0.00193  0.00143  0.00641  0.056 -0.221 -0.019 repro
 20010331 120000 51999.5000 -2485778.31995 -3284087.07210  4853826.81619  0.00455  0.00558  0.00644  0.838 -0.799 -0.834      49.8730532042  232.8773352330  164.69197    -0.03604  -0.04520  -0.02874    0.00276  0.00201  0.00904  0.035 -0.373 -0.051 repro
 20010401 120000 52000.5000 -2485778.32116 -3284087.07586  4853826.81897  0.00310  0.00388  0.00465  0.826 -0.778 -0.828      49.8730531946  232.8773352511  164.69649    -0.03710  -0.04390  -0.02421    0.00194  0.00142  0.00636  0.036 -0.287  0.002 repro
 20010402 120000 52001.5000 -2485778.31954 -3284087.07282  4853826.81792  0.00315  0.00389  0.00470  0.817 -0.773 -0.824      49.8730532119  232.8773352436  164.69350    -0.03517  -0.04444  -0.02721    0.00197  0.00148  0.00641  0.047 -0.274 -0.016 repro
 20010404 120000 52003.5000 -2485778.31880 -3284087.07374  4853826.81835  0.00290  0.00363  0.00437  0.823 -0.778 -0.832      49.8730532124  232.8773352596  164.69401    -0.03511  -0.04330  -0.02669    0.00180  0.00134  0.00597  0.046 -0.283  0.005 repro
 20010405 120000 52004.5000 -2485778.31917 -3284087.07164  4853826.81745  0.00314  0.00392  0.00476  0.824 -0.776 -0.830      49.8730532172  232.8773352378  164.69239    -0.03458  -0.04486  -0.02832    0.00196  0.00145  0.00647  0.051 -0.268 -0.002 repro
 20010406 120000 52005.5000 -2485778.31795 -3284087.07169  4853826.81698  0.00317  0.00400  0.00482  0.832 -0.791 -0.835      49.8730532193  232.8773352518  164.69158    -0.03435  -0.04386  -0.02912    0.00195  0.00144  0.00659  0.017 -0.284  0.005 repro
 20010407 120000 52006.5000 -2485778.31940 -3284087.07329  4853826.81919  0.00298  0.00385  0.00465  0.829 -0.786 -0.834      49.8730532173  232.8773352491  164.69465    -0.03457  -0.04405  -0.02605    0.00187  0.00138  0.00632 -0.001 -0.264  0.048 repro
 20010408 120000 52007.5000 -2485778.31714 -3284087.07156  4853826.81739  0.00323  0.00408  0.00482  0.836 -0.789 -0.838      49.8730532257  232.8773352596  164.69152    -0.03363  -0.04329  -0.02919    0.00199  0.00145  0.00665  0.033 -0.319  0.012 repro
 20010409 120000 52008.5000 -2485778.31613 -3284087.07159  4853826.81612  0.00320  0.00411  0.00478  0.836 -0.793 -0.843      49.8730532224  232.8773352711  164.69016    -0.03401  -0.04247  -0.03054    0.00197  0.00144  0.00664  0.017 -0.339  0.040 repro
 20010410 120000 52009.5000 -2485778.32075 -3284087.07724  4853826.82198  0.00332  0.00423  0.00500  0.827 -0.786 -0.837      49.8730532062  232.8773352672  164.69935    -0.03581  -0.04274  -0.02136    0.00205  0.00153  0.00688  0.021 -0.308  0.028 repro
 20010411 120000 52010.5000 -2485778.31910 -3284087.07485  4853826.82059  0.00316  0.00402  0.00469  0.832 -0.785 -0.836      49.8730532181  232.8773352656  164.69641    -0.03448  -0.04287  -0.02429    0.00197  0.00144  0.00650  0.024 -0.331  0.028 repro
 20010412 120000 52011.5000 -2485778.32094 -3284087.07565  4853826.82011  0.00348  0.00449  0.00518  0.838 -0.792 -0.842      49.8730532033  232.8773352518  164.69718    -0.03613  -0.04385  -0.02353    0.00216  0.00156  0.00721  0.007 -0.349  0.050 repro
 20010413 120000 52012.5000 -2485778.31846 -3284087.07338  4853826.81887  0.00310  0.00399  0.00467  0.835 -0.793 -0.844      49.8730532188  232.8773352603  164.69410    -0.03440  -0.04324  -0.02661    0.00190  0.00140  0.00647  0.015 -0.327  0.045 repro
 20010414 120000 52013.5000 -2485778.31575 -3284087.07126  4853826.81537  0.00299  0.00381  0.00447  0.833 -0.794 -0.843      49.8730532215  232.8773352726  164.68927    -0.03411  -0.04236  -0.03143    0.00182  0.00136  0.00619  0.022 -0.330  0.024 repro
 20010415 120000 52014.5000 -2485778.31663 -3284087.07143  4853826.81601  0.00313  0.00395  0.00472  0.827 -0.788 -0.844      49.8730532205  232.8773352642  164.69019    -0.03421  -0.04296  -0.03051    0.00189  0.00144  0.00648  0.047 -0.303  0.016 repro
 20010416 120000 52015.5000 -2485778.31474 -3284087.06893  4853826.81352  0.00316  0.00406  0.00479  0.830 -0.789 -0.839      49.8730532276  232.8773352642  164.68627    -0.03342  -0.04296  -0.03444    0.00196  0.00145  0.00660  0.008 -0.311  0.044 repro
 20010417 120000 52016.5000 -2485778.31586 -3284087.06787  4853826.81325  0.00344  0.00439  0.00519  0.827 -0.783 -0.836      49.8730532272  232.8773352428  164.68596    -0.03346  -0.04449  -0.03475    0.00214  0.00159  0.00714  0.027 -0.305  0.031 repro
 20010418 120000 52017.5000 -2485778.31729 -3284087.07169  4853826.81740  0.00345  0.00439  0.00516  0.829 -0.777 -0.827      49.8730532244  232.8773352591  164.69164    -0.03378  -0.04333  -0.02906    0.00220  0.00158  0.00710  0.022 -0.307  0.027 repro
 20010419 120000 52018.5000 -2485778.31687 -3284087.07167  4853826.81695  0.00308  0.00394  0.00454  0.837 -0.794 -0.842      49.8730532237  232.8773352635  164.69113    -0.03386  -0.04301  -0.02958    0.00190  0.00138  0.00633  0.013 -0.357  0.035 repro
 20010420 120000 52019.5000 -2485778.31685 -3284087.07066  4853826.81619  0.00325  0.00412  0.00475  0.842 -0.797 -0.844      49.8730532249  232.8773352554  164.69002    -0.03373  -0.04360  -0.03068    0.00199  0.00143  0.00664  0.027 -0.363  0.018 repro
 20010421 120000 52020.5000 -2485778.31564 -3284087.07069  4853826.81550  0.00310  0.00393  0.00454  0.833 -0.794 -0.843      49.8730532258  232.8773352690  164.68904    -0.03363  -0.04262  -0.03167    0.00189  0.00140  0.00634  0.026 -0.355  0.017 repro
