*YYYYMMDD,HHMMSS,JJJJJ.JJJJ,X,Y,Z,Sx,Sy,Sz,Rxy,Rxz,Ryz,NLat,Elong,Height,dN,dE,dU,Sn,Se,Su,Rne,Rnu,Reu,Soln
20000903,120000,51790.5,-2485778.322,-3284087.069,4853826.811,0.00252,0.00317,0.00374,0.825,-0.789,-0.834,49.87305318,232.8773352,164.68698,-0.03817,-0.04877,-0.03373,0.00155,0.00116,0.00516,0.019,-0.318,0.004,repro
20000904,120000,51791.5,-2485778.326,-3284087.074,4853826.818,0.00318,0.00392,0.00467,0.824,-0.79,-0.834,49.87305318,232.8773352,164.69655,-0.03877,-0.04898,-0.02416,0.00192,0.00146,0.00643,0.036,-0.314,-0.029,repro
20000905,120000,51792.5,-2485778.325,-3284087.07,4853826.817,0.00412,0.00498,0.00614,0.83,-0.779,-0.82,49.8730532,232.8773352,164.6932,-0.03671,-0.05092,-0.0275,0.00257,0.00185,0.00833,0.059,-0.256,-0.068,repro
20000906,120000,51793.5,-2485778.325,-3284087.073,4853826.815,0.00352,0.00428,0.00525,0.828,-0.778,-0.821,49.87305317,232.8773352,164.69336,-0.04002,-0.04881,-0.02735,0.0022,0.0016,0.00713,0.058,-0.262,-0.054,repro
20000907,120000,51794.5,-2485778.332,-3284087.076,4853826.823,0.00408,0.00484,0.00602,0.83,-0.774,-0.83,49.87305317,232.8773351,164.70431,-0.03969,-0.05219,-0.01639,0.00249,0.00183,0.00817,0.12,-0.259,-0.079,repro
20000908,120000,51795.5,-2485778.326,-3284087.072,4853826.815,0.00388,0.00466,0.00583,0.827,-0.762,-0.814,49.87305317,232.8773352,164.69302,-0.03968,-0.05031,-0.02769,0.00248,0.00176,0.00785,0.091,-0.229,-0.062,repro
20000909,120000,51796.5,-2485778.327,-3284087.073,4853826.821,0.00366,0.00437,0.0054,0.828,-0.772,-0.821,49.8730532,232.8773352,164.69915,-0.03683,-0.05044,-0.02155,0.00228,0.00165,0.00733,0.09,-0.26,-0.072,repro
20000910,120000,51797.5,-2485778.325,-3284087.071,4853826.815,0.00289,0.00355,0.00421,0.809,-0.781,-0.823,49.87305319,232.8773352,164.69249,-0.038,-0.05016,-0.02822,0.00177,0.00138,0.0058,0.023,-0.309,-0.027,repro
20000911,120000,51798.5,-2485778.324,-3284087.071,4853826.815,0.00345,0.00415,0.00516,0.819,-0.773,-0.813,49.87305319,232.8773352,164.69188,-0.03791,-0.04929,-0.02882,0.00217,0.0016,0.00696,0.05,-0.236,-0.069,repro
20000912,120000,51799.5,-2485778.33,-3284087.074,4853826.822,0.00461,0.00543,0.00669,0.811,-0.756,-0.809,49.87305319,232.8773351,164.70121,-0.03815,-0.05188,-0.01949,0.00291,0.00217,0.00908,0.102,-0.255,-0.084,repro
