*YYYYMMDD,HHMMSS,JJJJJ.JJJJ,X,Y,Z,Sx,Sy,Sz,Rxy,Rxz,Ryz,NLat,Elong,Height,dN,dE,dU,Sn,Se,Su,Rne,Rnu,Reu,Soln
20061025,120000,54033.5,-2735813.308,-4013142.389,4121159.094,0.01261,0.02179,0.02309,0.928,-0.895,-0.946,40.5047864,235.717218,608.24318,-0.1067,0.00026,0.01534,0.00576,0.00468,0.03334,0.201,0.256,0.481,repro
20061026,120000,54034.5,-2735813.306,-4013142.387,4121159.091,0.00265,0.00368,0.00351,0.828,-0.789,-0.839,40.5047864,235.717218,608.23958,-0.10662,-0.00006,0.01174,0.00149,0.00125,0.0054,-0.013,-0.146,0.014,repro
20061027,120000,54035.5,-2735813.304,-4013142.384,4121159.089,0.00263,0.00365,0.00346,0.828,-0.782,-0.837,40.50478641,235.717218,608.23568,-0.10632,0.00015,0.00784,0.00149,0.00125,0.00534,0.004,-0.153,0.015,repro
20061028,120000,54036.5,-2735813.305,-4013142.384,4121159.09,0.00249,0.00346,0.00332,0.824,-0.782,-0.836,40.50478641,235.717218,608.2365,-0.10558,-0.00018,0.00866,0.00141,0.00119,0.00508,-0.007,-0.129,0.019,repro
20061029,120000,54037.5,-2735813.306,-4013142.386,4121159.091,0.00256,0.00356,0.0034,0.826,-0.784,-0.838,40.50478641,235.717218,608.23896,-0.10595,-0.0007,0.01111,0.00145,0.00122,0.00522,-0.006,-0.14,0.021,repro
20061030,120000,54038.5,-2735813.304,-4013142.384,4121159.089,0.00274,0.00384,0.00366,0.822,-0.78,-0.838,40.50478641,235.717218,608.2353,-0.10599,-0.00027,0.00746,0.00155,0.00132,0.00561,-0.004,-0.137,0.035,repro
20061031,120000,54039.5,-2735813.305,-4013142.384,4121159.09,0.00252,0.00354,0.00337,0.828,-0.782,-0.835,40.50478641,235.717218,608.23602,-0.1053,-0.00077,0.00818,0.00145,0.0012,0.00517,-0.011,-0.146,0.033,repro
20061101,120000,54040.5,-2735813.305,-4013142.385,4121159.091,0.00294,0.00412,0.00394,0.833,-0.787,-0.837,40.50478642,235.717218,608.23781,-0.1048,0.00044,0.00997,0.00168,0.00138,0.00603,-0.013,-0.138,0.022,repro
20061102,120000,54041.5,-2735813.306,-4013142.386,4121159.1,0.00352,0.00484,0.00471,0.834,-0.787,-0.834,40.50478647,235.717218,608.2448,-0.09928,-0.00062,0.01696,0.002,0.00163,0.00716,-0.004,-0.117,-0.007,repro
20061103,120000,54042.5,-2735813.303,-4013142.384,4121159.096,0.00359,0.00494,0.00477,0.836,-0.785,-0.837,40.50478646,235.717218,608.23996,-0.1004,0.00095,0.01212,0.00204,0.00165,0.00729,0.012,-0.13,-0.004,repro
